variance	energy	centroid	frequency	c5	c6	c7	c8	c9	c10	target
0.05099876	225.3478004	3524.791807	3.813490644	0.05531088	0.390074388	3.274263474	-0.000289092	1489.75	428.3829216	contos
0.054292006	225.0134253	3571.221397	3.711758418	0.093743555	0.352014501	1.879024243	-0.000281612	202.22	417.1252792	contos
0.049107091	224.3976832	3701.721162	3.818622219	0.151992953	0.431562641	3.892446043	-0.000262408	302.71	319.5197459	contos
0.079693494	231.0790449	3380.017207	3.801533812	0.302397846	0.355595271	1.627137899	-0.000377755	260.95	160.995449	contos
0.080224698	233.8384435	3048.508598	3.849345311	0.27037113	0.365310453	1.320389739	-0.000370546	259.39	135.9443751	contos
0.048547228	245.9103805	3293.321972	3.766167662	0.247772985	0.437572059	3.936980323	-0.000248557	313.56	265.455168	contos
0.041281587	227.6947815	2617.206165	3.596139253	0.156475394	0.366111051	2.138875735	-0.000298345	279.78	271.7642928	contos
0.054186226	225.6678844	2475.559445	3.603138927	0.238193295	0.353501994	5.830079122	-0.000315596	528.48	236.5112665	contos
0.054553984	232.4069566	2054.361848	3.658606379	0.138845033	0.289535722	3.404596488	-0.000441081	1690.87	246.6418191	contos
0.045920775	280.6562309	2429.557569	3.751086564	0.090066758	0.390511095	5.032674312	-0.000338577	720.81	426.1794984	contos
0.044895848	284.0599802	2780.217403	3.772377827	0.011775758	0.42187005	4.513436799	-0.000303719	783.84	518.7673369	contos
0.056230642	289.1467438	2582.806956	3.789664042	0.076308627	0.354227439	5.137781115	-0.000371008	663.4	397.6011543	contos
0.067530891	302.6206581	2281.433931	3.811001961	0.047875332	0.33767862	3.682692368	-0.000466346	598.03	313.9293812	contos
0.069601853	272.3217837	2160.746468	3.886693457	0.020574367	0.323397764	2.042352672	-0.000494122	459.97	375.3612544	contos
0.060754113	278.934764	2665.663949	3.961006888	0.094891381	0.410488056	4.156836266	-0.000277566	1475.36	437.6818779	contos
0.048188407	236.2431461	2209.019949	3.881139677	0.177538362	0.370274357	2.620635683	-0.000343385	305.13	439.8937679	contos
0.041802078	295.3175876	2506.093507	3.657277504	0.213244483	0.383484675	3.870231206	-0.000236899	402.63	249.1236747	contos
0.059063217	282.7429696	1856.469884	3.625303623	0.180223229	0.315801391	1.376128559	-0.000365932	358.76	155.1995697	contos
0.064354115	269.4436258	1837.425459	3.531304824	0.137494297	0.225960583	0.691034661	-0.000486961	334.49	118.6448551	contos
0.072708735	269.0282536	1733.381269	3.557229055	0.16033097	0.256983886	3.219815773	-0.000484256	464.15	117.8170739	contos
0.083999069	259.2019031	1702.371315	3.570436776	0.240837848	0.262145302	5.989507564	-0.000496297	512.84	35.6840826	contos
0.073065699	281.5540121	1955.575795	3.528321699	0.280932222	0.282098273	5.630600356	-0.000450896	510.14	91.12382053	contos
0.229699857	300.6388799	4329.976363	3.64430383	0.244092761	0.585015479	14.41067979	-0.001178265	2097.96	558.2584455	contos
0.317754357	206.1539546	5158.482502	3.657228675	0.260999476	0.500875304	18.37888882	-0.001539161	562.83	80.96829251	contos
0.322323684	229.2955268	6412.556951	3.703828644	0.260791829	0.587111289	12.93976193	-0.001068857	559.03	179.2731661	contos
0.290822053	229.2955268	6880.981883	3.760929707	0.240703927	0.567557118	13.92822441	-0.000503587	548.12	108.3836527	contos
0.193146383	205.3131791	5735.605744	4.928929825	0.063043708	0.62743577	8.620621392	-0.000676661	2041.11	317.2478871	contos
0.108446617	229.2955268	4636.541302	5.526859002	0.058493089	0.490403374	11.41611171	-0.000644905	554.67	126.1947356	contos
0.074380934	304.4198054	4493.70777	5.475206629	0.255380236	0.548846393	8.342613149	-0.00042486	615.56	465.7218586	contos
0.059711763	272.3010673	4820.610707	5.450298603	0.337802233	0.557640112	7.587247096	-0.00038441	589.76	314.619705	contos
0.052363518	219.9046432	4751.708654	5.356600682	0.343618205	0.600596107	9.77103609	-0.000297895	633	332.6753508	contos
0.049568623	248.6033514	4876.665348	5.101903424	0.139132185	0.558085463	10.89392594	-0.000329894	857.84	425.1265044	contos
0.05018641	276.2811346	4856.508165	4.788092849	0.072009886	0.543270257	11.15915322	-0.000340718	620.79	232.5692637	contos
0.052986435	261.8131478	5115.412703	4.574732547	0.087096313	0.526321269	10.69263099	-0.00033316	672.33	201.0506868	contos
0.062674793	219.9046432	4952.886445	4.513557851	0.014878955	0.504486651	12.84207774	-0.000354054	673.73	230.6374574	contos
0.061656655	248.6033514	5095.100168	4.447793977	0.083570477	0.448306869	11.36614757	-0.000385089	611.6	102.8608459	contos
0.054706971	259.0164721	5023.711728	4.338917322	-0.008348122	0.454000007	13.38301385	-0.000328148	672.85	241.7470788	contos
0.073537333	259.0164721	4995.001894	4.402296515	-0.006271505	0.449307695	12.24809758	-0.000360951	694.7	212.8952146	contos
0.207358837	259.0164721	3864.038045	4.345033798	0.021624828	0.328362146	4.556351955	-0.001250606	1639.43	161.8407917	contos
0.31847882	280.0927229	3444.273914	4.283093325	0.006001419	0.274838758	5.54202615	-0.002387391	599.29	443.9851741	contos
0.285923085	288.9665216	3554.291269	4.346222775	0.022374715	0.272882752	7.384105834	-0.001806242	549.31	134.0787111	contos
0.149551866	300.024551	4563.351357	4.356476614	0.100064703	0.370799274	9.69919686	-0.000687283	649.98	253.0965911	contos
0.058241079	279.9669837	5052.032009	4.346560555	0.009936029	0.474376874	10.47589763	-0.000243732	557.5	348.5277593	contos
0.042235216	285.5908242	3868.156507	4.309207118	-0.077756186	0.353931256	8.949675823	-0.000236189	584.03	47.37359601	contos
0.076432461	227.1649394	5353.826461	5.271991519	0.253689849	0.357343608	12.94197584	-0.000364885	623.17	186.5055436	contos
0.084826476	227.1649394	4994.264426	5.405656331	0.335491732	0.292487456	6.937579303	-0.000485456	471.29	326.7940618	contos
0.084296717	256.4706782	4781.706191	5.452142631	0.335725897	0.2834674	6.251093312	-0.000399474	559.75	206.8819981	contos
0.094415479	235.9830062	4238.555535	5.352639643	0.414452761	0.241109018	5.21780131	-0.000573032	436.66	127.168353	contos
0.110173909	212.759251	3527.356131	5.059255556	0.437224183	0.186104957	4.635597673	-0.000689998	434.94	114.6945488	contos
0.103854203	204.495266	3489.905069	4.507247622	0.218735708	0.265655112	3.510140253	-0.000563765	644.48	542.5236298	contos
0.177593642	215.644328	3636.938702	4.345616874	0.077698823	0.284693109	4.802924584	-0.000540001	456.92	255.1042977	contos
0.224566971	215.9954226	3468.593179	4.349249756	0.035225495	0.191576648	4.511272825	-0.002142073	423.18	133.4554214	contos
0.171696879	207.7938141	2832.071214	4.418181944	-0.019146971	0.213127396	7.228790317	-0.001255674	499.95	74.83049526	contos
0.08860556	221.3937356	2268.190072	4.367670889	-0.086875666	0.220954155	3.515701778	-0.000460803	526.93	249.9252765	contos
0.06073847	568.1781518	1873.112159	3.334144219	0.155219012	0.218073436	-4.134257673	-0.000295391	566.47	29.79495941	contos
0.131054603	570.1317484	1584.855506	3.262818025	0.134864142	0.20526255	-3.404578736	-0.000623074	570.02	11.36634842	contos
0.178509565	568.1781518	1620.958218	3.257712838	0.241783793	0.168281445	-3.389251838	-0.000782531	575.51	8.178616607	contos
0.173971891	587.1623512	1654.305002	3.227838706	0.268927775	0.16479848	-3.340793593	-0.000808867	569.86	8.317268447	contos
0.1400244	572.6002156	1867.97106	3.218558071	0.247880057	0.231200362	-2.315777243	-0.0006386	572.21	7.93922528	contos
0.113614916	572.0853449	2059.574315	3.186772352	0.188947273	0.257432266	-0.811273068	-0.000497072	577.93	13.68518924	contos
0.098450116	571.5279866	1926.843654	3.086906215	0.258001542	0.212543278	-1.677735696	-0.000537487	582.58	20.09020814	contos
0.091610817	572.9526814	2885.24846	3.203005806	0.313129466	0.302110568	0.917506785	-0.00046414	584.06	34.7773262	contos
0.083303041	580.1329403	2318.529941	3.106811595	0.222546281	0.315381683	-0.038810354	-0.000477829	590.29	35.81539532	contos
0.115252885	525.4065709	2763.512202	3.097602964	0.277851192	0.50316922	1.542323657	-0.000523187	568.08	49.32754172	contos
0.223294004	391.1403166	4343.587848	3.124151451	0.172114661	0.625042245	8.333595312	-0.001435165	1852.97	191.7471684	contos
0.285376888	291.6773377	4911.558561	3.125579476	0.19813848	0.56413076	9.050244514	-0.001286179	493.29	100.5607551	contos
0.286071116	299.7503791	6073.551509	3.13990112	0.164497436	0.626414619	9.722387651	-0.000983896	588.55	217.1140493	contos
0.217254868	311.7831362	6309.78468	3.09707906	0.141400865	0.624316895	8.444207566	-0.00077042	578.38	570.1882478	contos
0.092971802	290.2449101	5909.117244	3.133409798	0.196271567	0.659493171	8.497965199	-0.000266447	676.6	363.4664305	contos
0.048124896	266.2615327	5191.468791	3.264288515	0.158281155	0.572915674	9.312033187	-0.000265009	688.73	58.78913084	contos
0.044493617	241.370486	5444.701971	3.175854627	0.175575713	0.565865836	9.406487828	-0.000221776	679.55	204.1654425	contos
0.045223111	239.8303119	4965.264332	3.170953764	0.195421659	0.507243606	9.941419018	-0.000327297	674.96	53.7537086	contos
0.040904215	225.7476449	4861.87535	3.232507778	0.203282501	0.489302403	10.42684488	-0.000260374	716.67	171.5253789	contos
0.040551254	194.3932281	4276.106143	3.27853411	0.305881216	0.37985017	10.79609159	-0.000287499	688.34	119.0744882	contos
0.043239754	225.7476449	4408.51141	3.361053039	0.280173584	0.402328105	7.354703625	-0.000269015	642.85	213.6368851	contos
0.042772751	164.1159401	5142.864729	3.356349436	0.334680767	0.376661063	10.03792506	-0.000216155	680.58	161.2302414	contos
0.045120827	194.3932281	4638.334121	3.337353555	0.346756364	0.4293074	8.579565534	-0.000279688	728.07	442.4786362	contos
0.05044789	164.1159401	4283.656368	3.360042474	0.320168086	0.346044718	8.207472524	-0.000336749	580.76	164.0179392	contos
