variance	energy	centroid	frequency	RMS	KURTOSIS	ENTROPIA	MOMENTO	target
0.000588742	5.20101E-05	21849.6589	64.6627566	0.024354794	2.289607366	2.765848794	0.000588167	sintos
0.000435739	4.46695E-05	21828.57981	86.1328125	0.020952348	1.82838798	2.634396092	0.000435314	sintos
0.000426312	-6.85003E-05	21702.35409	43.06640625	0.020849393	2.09096359	2.318226023	0.000425896	sintos
0.000782934	6.75677E-05	21761.82162	43.06640625	0.028116647	1.970092752	2.656769036	0.000782171	sintos
0.000982247	3.7888E-05	21898.14689	86.1328125	0.031367223	2.104004312	2.764214157	0.000981288	sintos
0.000748655	-0.000163337	21242.05162	43.06640625	0.028241973	2.435014255	2.268077978	0.000747924	sintos
0.000658022	8.41839E-05	21629.81812	43.06640625	0.025894992	2.099977445	3.04143982	0.00065738	sintos
0.000629017	9.95965E-05	21521.24907	86.1328125	0.025431712	2.091949753	3.108940403	0.000628403	sintos
0.0005702	-9.83709E-05	21588.49055	86.1328125	0.024241624	2.675710409	2.257038413	0.000569644	sintos
0.000823021	7.15037E-05	21684.56061	86.1328125	0.028839693	2.095489291	2.774106528	0.000822218	sintos
0.000959091	-3.3178E-05	21942.89008	43.06640625	0.030987424	1.743651041	2.502432113	0.000958155	sintos
0.00074863	-0.000193729	21075.92297	43.06640625	0.028592412	2.347228167	2.067689745	0.000747899	sintos
0.000696742	8.78261E-05	21587.83434	86.1328125	0.026654352	1.956551112	2.93368508	0.000696062	sintos
0.000369637	8.19437E-05	21626.28999	129.1992188	0.019536936	1.702637956	2.649900544	0.000369276	sintos
0.000434131	-7.48747E-05	21695.89006	43.06640625	0.021074867	3.364343206	2.15860951	0.000433707	sintos
0.001312199	0.000146085	21408.07694	43.06640625	0.036749381	2.752001723	2.993016907	0.001310919	sintos
0.001486715	-4.37769E-05	21896.91517	43.06640625	0.038585546	2.716379465	2.44667867	0.001485265	sintos
0.000550883	-0.000187438	20876.69243	43.06640625	0.024810534	1.977595663	2.014441396	0.000550346	sintos
0.000271986	0.000142224	21297.74965	86.1328125	0.017580393	2.708497029	2.854988095	0.00027172	sintos
0.000689782	6.91985E-05	21745.21547	43.06640625	0.02641954	2.127557541	2.953559414	0.000689109	sintos
0.000964604	-0.000163687	21152.52166	43.06640625	0.031839345	2.128039287	2.416631596	0.000963663	sintos
0.001186527	5.93517E-05	21791.47034	43.06640625	0.034524147	2.259028694	2.89706905	0.001185369	sintos
0.001062935	-1.40845E-05	22012.6788	43.06640625	0.032592858	2.420680896	2.207987511	0.001061898	sintos
0.000963616	-9.22578E-05	21572.95595	43.06640625	0.031282796	2.553697614	2.228002366	0.000962676	sintos
0.00079997	0.000164525	21179.78557	43.06640625	0.029141442	2.466623558	3.244670667	0.00079919	sintos
0.000446081	1.26548E-05	22019.02476	86.1328125	0.021117117	2.212499964	2.667977422	0.000445646	sintos
0.000377776	-7.42368E-05	21615.84913	43.06640625	0.019691086	2.496370998	2.095388908	0.000377407	sintos
0.000382345	-5.16743E-06	22057.66863	43.06640625	0.019545276	2.383616623	2.195909417	0.000381972	sintos
0.000460549	-7.89794E-05	21627.27633	43.06640625	0.021720558	2.48360169	1.96985741	0.0004601	sintos
0.000820292	2.71695E-05	21948.56395	43.06640625	0.028649988	2.945206637	2.521361714	0.000819492	sintos
0.000802389	7.90537E-05	21660.51296	43.06640625	0.028518539	2.671469551	2.857996483	0.000801606	sintos
0.000365046	-6.2299E-05	21682.44601	43.06640625	0.019287678	2.54542065	2.124653913	0.00036469	sintos
0.000339723	-2.10038E-05	21987.4831	86.1328125	0.018444455	2.581948701	2.299490625	0.000339392	sintos
0.000682524	0.000137876	21372.93943	43.06640625	0.026776749	1.994070397	2.963742776	0.000681858	sintos
0.001225568	-0.000110719	21597.37054	43.06640625	0.035314143	1.975908844	2.610322595	0.001224372	sintos
0.001227853	-9.23989E-05	21648.15081	43.06640625	0.035248316	2.53752371	2.639881567	0.001226655	sintos
0.001027295	0.000200716	21614.07121	43.06640625	0.033205878	7.208921582	3.058731475	0.001026293	sintos
0.001942188	-9.83233E-05	21863.55179	516.796875	0.044252777	8.634198515	2.407705561	0.001940293	sintos
0.001605989	-8.03896E-05	21945.06425	516.796875	0.040198171	10.11192434	2.567643986	0.001604422	sintos
0.000509583	0.000135269	21377.64264	86.1328125	0.02329862	3.177074704	3.067161452	0.000509086	sintos
0.000798051	-2.4369E-05	21978.76532	43.06640625	0.028256114	2.680465943	2.878930348	0.000797273	sintos
0.000777026	-4.43429E-05	21893.02967	43.06640625	0.027928115	1.894531363	2.785238653	0.000776268	sintos
0.000683683	7.83511E-05	21715.44663	43.06640625	0.026353346	2.716703387	2.905324429	0.000683016	sintos
0.000505365	-3.1657E-05	21953.53386	43.06640625	0.02251222	3.228908136	2.455540781	0.000504872	sintos
0.000408335	-6.59548E-05	21823.67582	86.1328125	0.02039356	2.455322576	2.240375762	0.000407937	sintos
0.000502854	6.86012E-05	21837.16984	43.06640625	0.022607444	2.043273904	2.807819402	0.000502363	sintos
0.000598726	3.32478E-05	21974.13956	43.06640625	0.02449823	2.775765828	2.792777378	0.000598142	sintos
0.000805471	-2.59089E-05	22006.90354	43.06640625	0.028389351	3.647631205	2.588676832	0.000804685	sintos
0.000790828	-3.29104E-06	22080.55509	43.06640625	0.028108306	3.299298662	2.641314193	0.000790056	sintos
0.000700831	-9.82679E-06	22047.11644	43.06640625	0.026464144	1.943458924	2.677301959	0.000700147	sintos
0.000664802	5.50696E-05	21841.56313	43.06640625	0.025880155	2.03834115	2.852494552	0.000664153	sintos
0.000664462	7.46736E-05	21719.38874	86.1328125	0.02596314	1.893291482	2.812199085	0.000663813	sintos
0.00097941	-0.000158176	21397.47387	43.06640625	0.032010764	2.044162403	2.41136341	0.000978455	sintos
0.001083801	-4.14605E-05	21901.37619	43.06640625	0.03295342	2.17508176	2.831869896	0.001082744	sintos
0.000677794	0.000116445	21513.5513	43.06640625	0.026504866	2.729987199	2.958425408	0.000677133	sintos
0.000457098	-2.3301E-05	21962.2813	43.06640625	0.021392939	3.566427097	2.393231135	0.000456652	sintos
0.000299542	-1.54609E-05	22004.68756	43.06640625	0.017310837	2.875230904	2.238411015	0.00029925	sintos
0.000295823	4.35289E-05	21800.95566	43.06640625	0.017292384	2.665211535	2.481837038	0.000295534	sintos
0.000828466	-4.55725E-05	21855.31861	43.06640625	0.028834342	2.00371598	2.639246306	0.000827658	sintos
0.001308462	-4.03317E-05	21891.18675	43.06640625	0.036197877	1.731403	2.82427571	0.001307186	sintos
0.001068213	5.66352E-05	21818.805	43.06640625	0.032759543	2.423643395	2.988774196	0.001067171	sintos
0.000568712	-1.18912E-05	22025.38987	86.1328125	0.023842058	3.734593977	2.449662315	0.000568157	sintos
0.000412294	4.96127E-05	21771.02499	43.06640625	0.0204068	2.056806626	2.457659147	0.000411892	sintos
0.000356144	4.65322E-05	21756.1856	86.1328125	0.018968963	2.061369618	2.55983873	0.000355796	sintos
0.000454764	-5.42244E-05	21762.07504	86.1328125	0.021440117	2.57207774	2.469370756	0.00045432	sintos
0.000960091	-0.000122813	21452.88663	43.06640625	0.031419736	2.45914666	2.408952916	0.000959154	sintos
0.001422333	9.1269E-05	21606.9017	43.06640625	0.03790243	1.637733701	2.960946048	0.001420946	sintos
0.001022779	5.29067E-05	21811.25582	43.06640625	0.032044235	2.095669114	3.186137131	0.001021781	sintos
0.000267268	-0.000107519	21371.7994	43.06640625	0.01698054	2.276950512	1.976449549	0.000267007	sintos
0.000313839	9.26824E-05	21524.97333	43.06640625	0.018149348	2.186118162	2.577952872	0.000313532	sintos
0.000597847	5.18858E-05	21822.75685	43.06640625	0.024541133	1.981765374	2.826259319	0.000597264	sintos
0.000609088	-0.000167662	21256.17706	43.06640625	0.025702748	1.581081483	2.323548625	0.000608494	sintos
0.000772813	8.77565E-05	21619.61846	43.06640625	0.028044232	2.421007927	3.129931171	0.000772059	sintos
0.000735356	8.43711E-06	22046.93341	43.06640625	0.027106353	2.459219788	2.70184043	0.000734638	sintos
0.00046394	-4.87601E-05	21832.6292	43.06640625	0.02163093	2.284322926	2.432406917	0.000463487	sintos
0.000495483	1.91781E-05	21979.62587	86.1328125	0.022263953	3.247516816	2.679855023	0.000495	sintos
0.00042515	6.64069E-05	21687.85711	172.265625	0.020804191	4.312803032	2.824071442	0.000424736	sintos
0.000616761	-3.87695E-05	21901.62211	86.1328125	0.024879146	2.192081219	2.749379431	0.000616159	sintos
0.003277028	5.67004E-06	22080.70098	86.1328125	0.057217936	7.4009316	3.047608179	0.003273831	sintos
0.003177825	-6.26074E-05	21962.31437	43.06640625	0.056409644	7.881932986	2.514506701	0.003174725	sintos
0.000731597	-2.57605E-05	21950.3175	43.06640625	0.027057731	2.642482618	2.587946293	0.000730883	sintos
0.000569437	7.79135E-05	21642.4905	43.06640625	0.024088691	2.216953567	2.792108407	0.000568881	sintos
0.000306974	-0.000131398	21261.46653	172.265625	0.018402637	2.505104889	1.900355714	0.000306675	sintos
0.000388511	6.88949E-05	21709.7158	86.1328125	0.019922985	2.18285416	2.829938039	0.000388132	sintos
0.000629512	7.03864E-05	21659.12941	86.1328125	0.025260453	2.339139664	2.9748957	0.000628898	sintos
0.000591228	-4.52552E-05	21855.05592	129.1992188	0.024381093	2.152602721	2.556963933	0.000590651	sintos
0.000381676	4.20509E-05	21773.04125	129.1992188	0.019610349	2.241099324	2.672781022	0.000381303	sintos
0.000381517	3.30756E-06	22059.80556	43.06640625	0.019523761	2.061684037	2.553903982	0.000381145	sintos
0.000631192	-0.000107103	21443.25734	43.06640625	0.025528404	2.277225636	2.2595603	0.000630576	sintos
0.000525083	-2.9705E-05	21915.11745	86.1328125	0.022938217	3.000730848	2.412013399	0.000524571	sintos
0.000355274	0.000128754	21175.01131	86.1328125	0.019641667	2.524749151	2.782035239	0.000354928	sintos
0.000689431	-4.74267E-05	21812.70173	43.06640625	0.026322727	2.379818516	2.537198376	0.000688758	sintos
0.000627057	-2.95827E-05	21876.43575	43.06640625	0.025061363	2.358458851	2.515312649	0.000626445	sintos
0.000278354	9.39124E-05	21406.43901	43.06640625	0.017161003	2.126954093	2.601543614	0.000278083	sintos
0.000521467	-1.03358E-05	22043.46147	129.1992188	0.022828365	4.231943683	2.337837957	0.000520958	sintos
0.000816491	6.7104E-06	22050.65097	86.1328125	0.028561871	2.886938232	2.751183942	0.000815694	sintos
0.000478555	-4.1345E-05	21867.85696	129.1992188	0.021934597	3.857360757	2.478609875	0.000478089	sintos
0.000322246	-3.82894E-05	21824.36019	86.1328125	0.018015737	2.647082047	2.408012562	0.000321931	sintos
0.000378852	7.40845E-05	21623.46353	86.1328125	0.019714139	2.514911595	2.816272497	0.000378483	sintos
0.000410561	-1.8919E-06	22085.49332	43.06640625	0.020252466	2.690174849	2.548027249	0.00041016	sintos
0.000548472	-6.93979E-05	21659.28469	43.06640625	0.023600276	2.98967263	2.173211648	0.000547937	sintos
0.000607761	3.06028E-05	21940.85546	43.06640625	0.02467643	2.344330048	2.443359847	0.000607168	sintos
0.000447142	9.45236E-05	21525.42028	86.1328125	0.021519905	2.262227526	2.828620635	0.000446705	sintos
0.000377449	-2.99626E-05	21915.29841	43.06640625	0.019461211	2.373399115	2.440270568	0.000377081	sintos
0.000379885	-8.34369E-05	21515.87098	43.06640625	0.019812526	1.926037791	2.29880136	0.000379514	sintos
0.000560671	6.956E-05	21634.64762	43.06640625	0.023857886	2.356115308	3.054318255	0.000560124	sintos
0.000722777	-5.4609E-05	21722.31612	43.06640625	0.026976796	1.876061677	2.735084489	0.000722072	sintos
0.000479007	-8.3733E-07	22087.87073	43.06640625	0.021875578	2.091498029	2.713773211	0.00047854	sintos
